"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Footer Links","15","0","","0"
"0","","0","Menu Navigation","10","0","","0"
"0","","0","Cart Management","2","0","","0"
"0","","0","Wishlist Functionality","2","0","","0"
"0","","0","Search Functionality","1","0","","0"
"0","","0","Homepage Slider","1","0","","0"
